Date,Portfolio Value,Portfolio Gain,SP500 Value,S&P 500 Gain,,Date,Portfolio,S&P 500
Feb '15," $	142,320.07 ",0,2021.1,0,,Feb '15,0,0
Jun '15," $	154,989.52 ",8.90%,2065.1,2.18%,,Jun '15,8.90%,2.18%
Dec '15," $	153,496.68 ",-0.96%,2057.9,-0.35%,,Dec '15,7.94%,1.83%
 Jan '16," $	147,878.02 ",-3.66%,1936.0,-5.92%,, Jan '16,4.28%,-4.10%
Feb '16," $	146,830.60 ",-0.71%,1930.1,-0.30%,,Feb '16,3.57%,-4.40%
Mar '16," $	155,612.52 ",5.98%,2060.4,6.75%,,Mar '16,9.55%,2.35%
Apr '16," $	157,588.95 ",1.27%,2066.7,0.31%,,Apr '16,10.82%,2.66%
May '16," $	161,965.89 ",2.78%,2096.2,1.43%,,May '16,13.60%,4.08%
Jun '16," $	164,260.60 ",1.42%,2095.3,-0.04%,,Jun '16,15.02%,4.04%
Jul '16," $	168,951.30 ",2.86%,2176.0,3.85%,,Jul '16,17.87%,7.89%
Aug '16," $	168,504.62 ",-0.26%,2169.3,-0.31%, ,Aug '16,17.61%,7.58%
Sep '16," $	167,994.02 ",-0.30%,2165.6,-0.17%,,Sep '16,17.30%,7.41%
Oct '16," $	163,158.68 ",-2.88%,2129.2,-1.68%,,Oct '16,14.43%,5.73%
Nov '16," $	162,871.75 ",-0.18%,2199.5,3.30%,,Nov '16,14.25%,9.04%
Dec '16," $	164,743.98 ",1.15%,2239.1,1.80%,,Dec '16,15.40%,10.84%
Feb '17," $	175,644.56 ",6.62%,2363.64,5.56%,,Feb '17,22.02%,16.40%
Mar '17," $	177,493.92 ",1.05%,2362.72,-0.04%,,Mar '17,23.07%,16.36%